open,high,low,close,volume,timestamp,candle_return,high_low_range,body_ratio,return_7d,return_14d,return_30d,ma_20,ma_50,ma_200,distance_to_ma20,distance_to_ma50,trend_regime,return_1,volatility_14d,volatility_30d,drawdown,volume_change,relative_volume,rsi_14,macd,macd_signal,macd_histogram,sma_short,sma_long,sma_diff,label,target
610.5880126953125,611.0859985351562,607.155029296875,607.155029296875,59464600,2016-09-15,-0.005622421873766103,0.0064744077683644785,0.8733172890301326,-0.030593103719794623,0.06089790214205304,0.05146171645177389,598.5962463378906,593.1976013183594,537.7850042724609,0.014298089925129846,0.02352913758837821,1,-0.005778752313614799,0.014917805434503172,0.011484264235942291,-0.20768797604815215,0.194853744917144,0.7482898947278083,70.1485374900495,6.040485240182647,5.135994768482874,0.9044904716997735,613.97080078125,604.4040018717448,9.566798909505223,BUY,1
607.2459716796875,609.260986328125,606.7349853515625,606.9730224609375,64963400,2016-09-16,-0.0004494870801612766,0.004161636321695111,0.10805586430189507,-0.025508098761827025,0.05462035603214477,0.05889057325978797,600.4475463867187,592.2363623046875,538.6313844299316,0.010867687133516945,0.02488307218912097,1,-0.00029976995520941685,0.01496210749654637,0.011364425926820519,-0.20792548738808414,0.08464458448911233,0.8147864461298008,68.8384593551483,5.5468936567523315,5.2181745461367655,0.328719110615566,613.6245056152344,603.3017852783203,10.32272033691413,BUY,1
607.218017578125,607.8599853515625,605.1920166015625,605.9840087890625,37140300,2016-09-17,-0.0020322334867208247,0.004402704875548449,0.4625274524156392,-0.028106994704456545,0.012992106502277112,0.05513672913248624,602.0511474609375,591.2162023925781,539.4856895446777,0.006532437226822438,0.024978690260383418,1,-0.0016294194886373736,0.010958712535744408,0.011383437378634825,-0.209216109035387,-0.7491350366044431,0.4806404657179551,56.29316335033097,5.018068463353984,5.178153329580209,-0.1600848662262253,612.768505859375,602.1871185302734,10.581387329101517,BUY,1
606.2830200195312,610.1580200195312,605.8560180664062,609.8740234375,48679400,2016-09-18,0.005922982005752143,0.007053918986214815,0.8347284490095103,0.005200149208026472,0.002037433541729694,0.05948963442525712,603.8394989013672,590.3127429199219,540.4151145935059,0.009993590262167533,0.03313714764282435,1,0.006419335480833732,0.010045216041831206,0.011413835584657838,-0.2041398019464461,0.23704277374002145,0.6561751928481954,51.1228720587959,4.856875324089856,5.113897728482139,-0.2570224043922833,611.1243103027343,601.2569356282552,9.867374674479152,BUY,1
609.8709716796875,610.9320068359375,608.27001953125,609.2269897460938,54796400,2016-09-19,-0.0010559314404161837,0.00436945071293859,0.24191773283798862,0.0016177889755739638,0.004347191305295484,0.04732698852654904,605.4256988525391,590.003662109375,541.3529945373535,0.006278707528866432,0.03258170901514691,1,-0.0010609300716880599,0.010001418369113196,0.011310251700473133,-0.20498415396342073,0.11163142104225825,0.7464504833107636,52.44975629449695,4.623620173225504,5.015842217430812,-0.39222204420530815,609.7609069824218,600.3271850585937,9.433721923828102,BUY,1
609.2540283203125,609.5250244140625,607.93798828125,608.31201171875,72710896,2016-09-20,-0.0015461803414900674,0.0026089179602559916,0.593569725405364,-0.0015248745091693827,-0.0034794187963804735,0.0464539092727434,607.0677001953125,590.044462890625,542.3398596191406,0.002049708002974314,0.030959614024055587,1,-0.0015018671902981007,0.009859108371975055,0.011317044815399104,-0.20617816217835017,0.2463797998033197,0.9926024114576387,47.91318103914577,4.315189882780373,4.875711750500725,-0.5605218677203512,608.2412109375,599.6220682779948,8.6191426595052,BUY,1
603.5880126953125,603.5880126953125,595.8829956054688,597.1489868164062,82776200,2016-09-21,-0.010667915438136163,0.012903006217797806,0.8356926148019733,-0.022163727417675583,-0.02830557185746818,0.01771784082590888,608.3100006103516,591.0381420898437,543.3227545166015,-0.018347575714268823,0.01033917152107179,1,-0.018350821103800485,0.010741549169751556,0.011781007735150171,-0.22074544471250535,0.12159659419011745,1.1255111296514277,34.99004603052552,3.133868553238699,4.527343111048319,-1.3934745578096202,607.2842102050781,598.6486175537109,8.635592651367233,BUY,1
597.2789916992188,598.4869995117188,596.2130126953125,596.2979736328125,67085300,2016-09-22,-0.0016424787746431853,0.0038135075364292993,0.4314088627638546,-0.017881850829162493,-0.04792789323183866,0.02208204466918051,609.3480499267578,591.637001953125,544.2657093811035,-0.02141645697481732,0.00787809360182097,1,-0.0014251270660791127,0.008869453597579189,0.01172746647950533,-0.22185598147061092,-0.2338947578679681,0.9201848646349443,18.082241209904467,2.104731205724306,4.042820729983516,-1.93808952425921,606.0897094726563,597.5655008951823,8.524208577474042,BUY,1
596.198974609375,603.2050170898438,595.7860107421875,602.8419799804688,51067000,2016-09-23,0.011142262321813277,0.012306718168327653,0.8954036510821233,-0.006805973787302189,-0.032140465097592275,0.039056663042876805,609.5795501708984,592.1280615234375,545.2083142089843,-0.011052815319248727,0.018093921151897892,1,0.010974389712895327,0.00963781859101761,0.01180716847152464,-0.213316325758511,-0.3136722345154405,0.7564718845751921,30.026112840599623,1.7964704716646338,3.5935506783197395,-1.7970802066551057,605.4498046875,596.711250813802,8.738553873697924,BUY,1
602.9609985351562,604.5800170898438,602.0449829101562,602.625,35359500,2016-09-24,-0.0005572475433278945,0.004206652859883841,0.13254201377179728,-0.0055430650649920254,-0.03349426086902041,0.04303512050873248,609.2791015625,592.6797009277344,546.151579284668,-0.01092126998191067,0.016780225569895467,1,-0.0003599284516910828,0.009607851593609744,0.011766175311485355,-0.21359947559535142,-0.4442229103918325,0.5492513027257019,28.98238432611663,1.5171741092536877,3.178275364506529,-1.6611012552528415,604.6439025878906,595.8919342041015,8.751968383789062,BUY,1
